Year,Month,DayofMonth,percentageCancelled
1999,9,8,0.027011675607447144
1999,9,9,0.04906659939455096
1999,9,10,0.031801007556675066
1999,9,11,0.015940873849721034
1999,9,12,0.010931875749900012
1999,9,13,0.018940589683692152
1999,9,14,0.07978252623593375
1999,9,15,0.07414424655803967
1999,9,16,0.20311809632014138
1999,9,17,0.05860089572951492
1999,9,18,0.019187440947743294
1999,9,19,0.013874991661663665
1999,9,20,0.02866885577165951
1999,9,21,0.03261281759575275
1999,9,22,0.028943377148634986
1999,9,23,0.01704437851145761
1999,9,24,0.014195583596214511
1999,9,25,0.016371971185330715
1999,9,26,0.013015618742490988
1999,9,27,0.02147278009346975
1999,9,28,0.03509548501327937
1999,9,29,0.03503224990514734
1999,9,30,0.020591207680646793
1999,10,1,0.013108968298985316
1999,10,2,0.017706821480406386
1999,10,3,0.011175770400740644
1999,10,4,0.04157218442932729
1999,10,5,0.02014098690835851
1999,10,6,0.02258287727244134
1999,10,7,0.011120884644383012
1999,10,8,0.009551938666499088
1999,10,9,0.0167427701674277
1999,10,10,0.017499834907217855
1999,10,11,0.013642650572111153
1999,10,12,0.02031702100893194
1999,10,13,0.0574517568671821
1999,10,14,0.03168615616748397
1999,10,15,0.04653645669785844
1999,10,16,0.03308477521175704
1999,10,17,0.01585309465618601
1999,10,18,0.016842634489693312
1999,10,19,0.017671844538079365
1999,10,20,0.022273957088026174
1999,10,21,0.013630653266331658
1999,10,22,0.014130503045908434
1999,10,23,0.017686285879965208
1999,10,24,0.0067991286553567894
1999,10,25,0.012518872672370408
1999,10,26,0.016725352112676055
1999,10,27,0.02050056596654509
1999,10,28,0.014698492462311558
1999,10,29,0.01425610751742762
1999,10,30,0.022031284423881914
1999,10,31,0.021813315490130478
1999,11,1,0.026025835866261397
1999,11,2,0.04201787185499715
1999,11,3,0.025555063571383388
1999,11,4,0.01719668710880698
1999,11,5,0.01592316441299128
1999,11,6,0.013406593406593406
1999,11,7,0.014967259120673527
1999,11,8,0.01745509739438401
1999,11,9,0.0136682908308549
1999,11,10,0.019741837509491267
1999,11,11,0.014093408329646716
1999,11,12,0.013268465280849183
1999,11,13,0.022722291225250237
1999,11,14,0.013727842196454752
1999,11,15,0.02300448713897491
1999,11,16,0.026568825910931175
1999,11,17,0.020932144438120533
1999,11,18,0.011931064958020326
1999,11,19,0.016149381781478678
1999,11,20,0.013084795321637427
1999,11,21,0.012733333333333333
1999,11,22,0.0358767054067711
1999,11,23,0.015099823098306799
1999,11,24,0.004978259499653412
1999,11,25,0.005019906525878483
1999,11,26,0.007704547357842727
1999,11,27,0.006635891517599538
1999,11,28,0.004280821917808219
1999,11,29,0.009970970591947495
1999,11,30,0.011824965220690528
1999,12,1,0.020417221482467822
1999,12,2,0.011626429479034308
1999,12,3,0.01199086410354016
1999,12,4,0.031468274391588856
1999,12,5,0.009058578809635644
1999,12,6,0.015702479338842976
1999,12,7,0.016966384952659338
1999,12,8,0.011368688472530962
1999,12,9,0.016495368608044663
1999,12,10,0.016363290416693092
1999,12,11,0.018435549026808665
1999,12,12,0.010844099337305041
1999,12,13,0.020878284046198757
1999,12,14,0.02878200648071669
1999,12,15,0.02984885050171472
1999,12,16,0.012199747155499367
1999,12,17,0.028798787419477074
1999,12,18,0.016009314510260515
1999,12,19,0.013229623720249967
1999,12,20,0.028985507246376812
1999,12,21,0.017653363596242356
1999,12,22,0.009452987143937485
1999,12,23,0.01412180052956752
1999,12,24,0.012460386055891674
1999,12,25,0.013676058658757621
1999,12,26,0.01067449462939489
1999,12,27,0.01167192429022082
1999,12,28,0.024402579339992413
1999,12,29,0.01436436119724103
1999,12,30,0.01449643947100712
1999,12,31,0.027864583333333335
2000,1,1,0.05616711450117015
2000,1,2,0.019929347463840567
2000,1,3,0.028468627698522913
2000,1,4,0.03369007662592616
2000,1,5,0.021853757702814308
2000,1,6,0.02243121306475186
2000,1,7,0.016956687412676235
2000,1,8,0.01758775480167783
2000,1,9,0.01955119591507659
2000,1,10,0.038361218907055156
2000,1,11,0.0323444976076555
2000,1,12,0.027673276796531275
2000,1,13,0.046542722526423025
2000,1,14,0.019904610492845788
2000,1,15,0.013187946658807927
2000,1,16,0.012495801142089352
2000,1,17,0.03736711439302311
2000,1,18,0.033928571428571426
2000,1,19,0.0612283946680273
2000,1,20,0.09883461758899573
2000,1,21,0.03292233379941528
2000,1,22,0.04838114905228999
2000,1,23,0.04876083014305863
2000,1,24,0.03624203821656051
2000,1,25,0.2919084358859912
2000,1,26,0.08559592096876992
2000,1,27,0.08425678257546809
2000,1,28,0.06317528918266176
2000,1,29,0.09629138096291381
2000,1,30,0.11809382981583547
2000,1,31,0.04682933028339052
2000,2,1,0.026764611945065474
2000,2,2,0.022235000958405214
2000,2,3,0.030086690464048955
2000,2,4,0.03587586822150003
2000,2,5,0.021592841825038823
